SourceContainer,DestinationContainer,PouringTime,RotationSpeed,MaximumAngle,SourcePosX,SourcePosY,SourcePosZ,DestPosX,DestPosY,DestPosZ,NumberOfParticles,NumberOfFailedParticles,RotationInDegreePerSecond,IsPouringFailed
SM_Cup,SM_Blue_Cup,1.340248,80.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,0,67.499969,False
SM_Cup,SM_Blue_Cup,1.337249,80.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,0,67.499908,True
SM_Cup,SM_Blue_Cup,1.335275,80.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,0,67.42392,True
SM_Cup,SM_Blue_Cup,1.333336,80.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,1,67.275009,True
SM_Cup,SM_Blue_Cup,1.343943,80.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,1,67.499977,True
SM_Cup,SM_Blue_Cup,1.340047,80.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,2,66.861526,True
SM_Cup,SM_Blue_Cup,1.340656,80.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,1,67.499977,True
SM_Cup,SM_Blue_Cup,1.341374,80.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,1,67.284645,True
SM_Cup,SM_Blue_Cup,1.67745,85.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,1,67.050865,True
SM_Cup,SM_Blue_Cup,1.683975,85.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,1,67.057159,True
SM_Cup,SM_Blue_Cup,1.676204,85.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,2,67.499969,True
SM_Cup,SM_Blue_Cup,1.672398,85.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,0,66.958069,True
SM_Cup,SM_Blue_Cup,1.66823,85.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,0,67.499977,True
SM_Cup,SM_Blue_Cup,1.673612,85.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,1,67.003258,True
SM_Cup,SM_Blue_Cup,1.683653,85.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,0,66.894798,True
SM_Cup,SM_Blue_Cup,1.68499,85.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,2,66.750771,True
SM_Cup,SM_Blue_Cup,1.690791,85.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,0,67.037788,True
SM_Cup,SM_Blue_Cup,1.678969,85.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,0,67.111572,False
SM_Cup,SM_Blue_Cup,1.000001,90.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,0,67.080063,True
SM_Cup,SM_Blue_Cup,1.007942,90.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,0,67.499886,False
SM_Cup,SM_Blue_Cup,1.000001,90.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,1,67.499954,True
SM_Cup,SM_Blue_Cup,1.000002,90.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,0,66.920914,True
SM_Cup,SM_Blue_Cup,1.000365,90.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,0,66.845825,False
SM_Cup,SM_Blue_Cup,1.000001,90.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,0,66.812714,True
SM_Cup,SM_Blue_Cup,1.005168,90.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,0,66.783043,True
SM_Cup,SM_Blue_Cup,1.005073,90.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,0,67.279892,False
SM_Cup,SM_Blue_Cup,1.000001,90.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,0,67.410629,True
SM_Cup,SM_Blue_Cup,1.007742,90.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,0,67.384918,True
SM_Cup,SM_Blue_Cup,1.340147,95.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,1,67.499947,True
SM_Cup,SM_Blue_Cup,1.346067,95.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,0,67.165733,True
